basin_id,xaj_mz,xaj_snow,delta_NSE,region_folder,frac_snow,aridity,dor_pc_pva,snow_bin,arid_bin,dor_bin
camels_01013500,-0.2321245371072648,0.5711896977031736,0.8033142348104384,camels,0.37453797,0.4925567,0,S2_gt0.3,A0_humid,D0_lt0.1
camels_01031500,0.0119506462548893,0.5954785583992379,0.5835279121443486,camels,0.3062726,0.51058507,0,S2_gt0.3,A0_humid,D0_lt0.1
camels_02149000,0.4745347698582204,0.3533669998762342,-0.1211677699819862,camels,0.0,0.6581137,271,S0_lt0.1,A0_humid,D1_ge0.1
camels_03368000,0.4739312833819278,0.4701609117397247,-0.0037703716422031186,camels,0.07095362,0.7324092,0,S0_lt0.1,A0_humid,D0_lt0.1
camels_04057800,0.0417001913616367,0.6886787073380379,0.6469785159764012,camels,0.29129842,0.6991102,279,S1_0.1_0.3,A0_humid,D1_ge0.1
camels_05123400,-0.8564156331030095,-3.2339078973740065,-2.3774922642709972,camels,0.21615389,1.1497271,207,S1_0.1_0.3,A1_subhumid,D1_ge0.1
camels_06339100,-0.5613978435984119,-1.0477433286888722,-0.48634548509046027,camels,0.21699156,1.5826339,0,S1_0.1_0.3,A2_arid,D0_lt0.1
camels_06447000,-0.1014799077917059,-0.0621891049216949,0.039290802870011,camels,0.11402522,1.6740073,91,S1_0.1_0.3,A2_arid,D1_ge0.1
camels_08086290,0.0607808856864475,0.053953786984202,-0.0068270987022455015,camels,0.0,1.9230783,3520,S0_lt0.1,A2_arid,D1_ge0.1
camels_09223000,0.1044022723712665,0.6505396276264173,0.5461373552551507,camels,0.5751422,1.3722756,0,S2_gt0.3,A2_arid,D0_lt0.1
camels_09312600,0.0118799729895991,0.0331987564404887,0.021318783450889597,camels,0.42334953,1.3663266,0,S2_gt0.3,A2_arid,D0_lt0.1
camels_10348850,-0.0733653039020538,0.5467550480821614,0.6201203519842151,camels,0.6012107,1.5424113,0,S2_gt0.3,A2_arid,D0_lt0.1
camels_14306500,0.710633808785872,0.7043457944069262,-0.006288014378945772,camels,0.0,0.48999003,0,S0_lt0.1,A0_humid,D0_lt0.1
camels_14362250,-20.43830026111075,-26.98685835048275,-6.548558089371998,camels,0.0,0.84568805,232,S0_lt0.1,A1_subhumid,D1_ge0.1
