basin_id,model,rep,status,source,elapsed_sec,NSE,KGE,RMSE,source_csv,error,config
camels_01013500,xaj_mz,200,ok,existing_or_missing,,-0.2321245371072648,0.2096317130340879,2.244620266134258,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/diagnostics/rep_budget/camels_01013500_xaj_mz_rep200/xaj_mz_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_mz_rep200.yaml
camels_01013500,xaj_mz,800,ok,reused:results/xaj_snow_go_nogo/camels_01013500_xaj_mz/xaj_mz_SCE_UA,,-0.2321245371072648,0.2096317130340879,2.244620266134258,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/xaj_snow_go_nogo/camels_01013500_xaj_mz/xaj_mz_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_mz_rep800.yaml
camels_01013500,xaj_mz,2000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_mz_rep2000.yaml
camels_01013500,xaj_mz,5000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_mz_rep5000.yaml
camels_01013500,xaj_snow,200,ok,existing_or_missing,,0.5711896977031736,0.7105411778039608,1.3241835302517266,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/diagnostics/rep_budget/camels_01013500_xaj_snow_rep200/xaj_snow_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_snow_rep200.yaml
camels_01013500,xaj_snow,800,ok,reused:results/xaj_snow_go_nogo/camels_01013500_xaj_snow/xaj_snow_SCE_UA,,0.7317827747222032,0.7763659545980491,1.0472705938971414,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/xaj_snow_go_nogo/camels_01013500_xaj_snow/xaj_snow_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_snow_rep800.yaml
camels_01013500,xaj_snow,2000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_snow_rep2000.yaml
camels_01013500,xaj_snow,5000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_01013500_xaj_snow_rep5000.yaml
camels_14306500,xaj_mz,200,ok,existing_or_missing,,0.710633808785872,0.7815253308984131,3.056478899381416,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/diagnostics/rep_budget/camels_14306500_xaj_mz_rep200/xaj_mz_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_mz_rep200.yaml
camels_14306500,xaj_mz,800,ok,reused:results/xaj_snow_go_nogo/camels_14306500_xaj_mz/xaj_mz_SCE_UA,,0.710633808785872,0.7815253308984131,3.056478899381416,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/xaj_snow_go_nogo/camels_14306500_xaj_mz/xaj_mz_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_mz_rep800.yaml
camels_14306500,xaj_mz,2000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_mz_rep2000.yaml
camels_14306500,xaj_mz,5000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_mz_rep5000.yaml
camels_14306500,xaj_snow,200,ok,existing_or_missing,,0.7043457944069262,0.7795303849818098,3.0895095253500573,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/diagnostics/rep_budget/camels_14306500_xaj_snow_rep200/xaj_snow_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_snow_rep200.yaml
camels_14306500,xaj_snow,800,ok,reused:results/xaj_snow_go_nogo/camels_14306500_xaj_snow/xaj_snow_SCE_UA,,0.7043457944069262,0.7795303849818098,3.0895095253500573,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/results/xaj_snow_go_nogo/camels_14306500_xaj_snow/xaj_snow_SCE_UA/evaluation_test/basins_metrics.csv,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_snow_rep800.yaml
camels_14306500,xaj_snow,2000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_snow_rep2000.yaml
camels_14306500,xaj_snow,5000,未运行,existing_or_missing,,,,,,,D:/Projects/hydromodel-0.3.2/hydromodel-0.3.2/configs/_generated_rep_budget/camels_14306500_xaj_snow_rep5000.yaml
