basin_id,frac_snow,snow_bin,KGE_xaj_mz,KGE_xaj_snow,NSE_xaj_mz,NSE_xaj_snow,delta_NSE
camels_01013500,0.37453797,S2_gt0.3,0.2096317130340879,0.7105411778039608,-0.2321245371072648,0.5711896977031736,0.8033142348104384
camels_01031500,0.3062726,S2_gt0.3,0.4408555651855045,0.797870510362636,0.0119506462548893,0.5954785583992379,0.5835279121443486
camels_02149000,0.0,S0_lt0.1,0.561089961405711,0.6181546099754642,0.4745347698582204,0.3533669998762342,-0.1211677699819862
camels_03368000,0.07095362,S0_lt0.1,0.5510860759714882,0.4945987382482562,0.4739312833819278,0.4701609117397247,-0.0037703716422031186
camels_04057800,0.29129842,S1_0.1_0.3,0.2254745992189913,0.8368062806105164,0.0417001913616367,0.6886787073380379,0.6469785159764012
camels_05123400,0.21615389,S1_0.1_0.3,-0.9658549059442618,-1.1410579804859524,-0.8564156331030095,-3.2339078973740065,-2.3774922642709972
camels_06339100,0.21699156,S1_0.1_0.3,-0.6410772181260243,-0.2935443464920499,-0.5613978435984119,-1.0477433286888722,-0.48634548509046027
camels_06447000,0.11402522,S1_0.1_0.3,0.2444333231368468,0.3954888139916275,-0.1014799077917059,-0.0621891049216949,0.039290802870011
camels_08086290,0.0,S0_lt0.1,-0.1904902272336766,-0.0969149446993518,0.0607808856864475,0.053953786984202,-0.0068270987022455015
camels_09223000,0.5751422,S2_gt0.3,0.0424316475826538,0.5277627820939911,0.1044022723712665,0.6505396276264173,0.5461373552551507
camels_09312600,0.42334953,S2_gt0.3,0.1641140682995296,0.014340023983594,0.0118799729895991,0.0331987564404887,0.021318783450889597
camels_10348850,0.6012107,S2_gt0.3,0.1726915988540543,0.7439781119005706,-0.0733653039020538,0.5467550480821614,0.6201203519842151
camels_14306500,0.0,S0_lt0.1,0.7815253308984131,0.7795303849818098,0.710633808785872,0.7043457944069262,-0.006288014378945772
camels_14362250,0.0,S0_lt0.1,-6.257243850249629,-6.566153764351252,-20.43830026111075,-26.98685835048275,-6.548558089371998
